limit_bal,sex,education,marriage,age,default_payment_next_month,totalbillamt,totalpayamt,fullrepayment,risk_category
20000,2,2,1,24,1,7704,689,0,1
120000,2,2,2,26,1,17077,5000,0,1
90000,2,2,2,34,0,101653,11018,0,0
50000,2,2,1,37,0,231334,8388,0,0
50000,1,2,1,57,0,109339,59049,0,0
50000,1,1,2,37,0,238114,7772,0,0
500000,1,1,2,29,0,2724595,180759,0,0
100000,2,2,2,23,0,13486,4791,0,0
140000,2,3,1,28,0,65212,6761,0,1
20000,1,3,2,35,0,26919,14129,0,0
200000,2,3,2,34,0,34467,6472,0,1
260000,2,1,2,51,0,88369,66308,0,1
630000,2,2,2,41,0,41007,23370,0,0
70000,1,2,2,30,1,338685,10700,0,1
250000,1,1,2,29,0,373591,18000,0,0
50000,2,3,3,23,0,196416,6200,0,1
20000,1,1,2,24,1,106161,6350,0,1
320000,1,1,1,49,0,966014,361897,0,0
360000,2,1,1,49,0,0,0,1,0
180000,2,1,2,29,0,0,0,1,0
130000,2,3,2,39,0,123883,42231,0,0
120000,2,2,1,39,1,1896,1580,0,0
70000,2,2,2,26,1,265475,11010,0,1
450000,2,1,1,40,1,26965,22589,0,0
90000,1,1,2,23,0,31864,16400,0,0
50000,1,3,2,23,0,214295,7891,0,0
60000,1,1,2,27,1,-394,2500,1,0
50000,2,3,2,30,0,112268,7112,0,0
50000,2,3,1,47,0,40208,39567,0,0
50000,1,1,2,26,0,97082,6600,0,0
230000,2,1,2,27,0,113746,97489,0,0
50000,1,2,2,33,1,151869,6934,0,1
100000,1,1,2,32,0,495237,18744,0,0
500000,2,2,1,54,0,125744,158502,1,0
500000,1,1,1,58,0,58318,45425,0,0
160000,1,1,2,30,0,25312,2280,0,0
280000,1,2,1,40,0,1069977,41923,0,0
60000,2,2,2,22,0,32279,53349,1,0
50000,1,1,2,25,1,780,780,1,0
280000,1,1,2,31,0,51643,37357,0,1
360000,1,1,2,33,0,1650751,243840,0,0
70000,2,1,2,25,0,392856,19342,0,0
10000,1,2,2,22,0,22761,7227,0,0
140000,2,2,1,37,0,385134,20000,0,0
40000,2,1,2,30,0,147185,13000,0,1
210000,1,1,2,29,1,0,0,1,0
20000,2,1,2,22,1,79328,20075,0,1
150000,2,5,2,46,1,9837,2183,0,0
380000,1,2,2,32,0,114815,93332,0,0
20000,1,1,2,24,0,115810,6246,0,0
70000,1,3,2,42,1,229012,8100,0,1
100000,2,3,3,43,0,265185,9606,0,0
310000,2,2,1,49,0,44125,30668,0,0
180000,2,1,2,25,0,259151,10246,0,1
150000,2,1,2,29,0,176751,12867,0,1
500000,2,1,1,45,0,8388,6483,0,0
180000,2,3,1,34,0,55404,29179,0,0
180000,2,2,1,34,0,952362,34062,0,0
