limit_bal,sex,education,marriage,age,default_payment_next_month,totalbillamt,totalpayamt,fullrepayment,max_delay,risk_category,bill_to_limit_ratio,payment_to_bill_ratio
20000,2,2.0,1,24,1,7704,689,0,2,1,0.3852,0.08943406022845275
120000,2,2.0,2,26,1,17077,5000,0,2,1,0.14230833333333334,0.29279147391227967
90000,2,2.0,2,34,0,101653,11018,0,0,0,1.1294777777777778,0.10838834072776997
50000,2,2.0,1,37,0,231334,8388,0,0,0,4.62668,0.03625926150068732
50000,1,2.0,1,57,0,109339,59049,0,0,0,2.18678,0.5400543264525924
50000,1,1.0,2,37,0,238114,7772,0,0,0,4.76228,0.032639827981555056
500000,1,1.0,2,29,0,2724595,180759,0,0,0,5.44919,0.06634343819907179
100000,2,2.0,2,23,0,13486,4791,0,0,0,0.13486,0.3552573038706807
140000,2,3.0,1,28,0,65212,6761,0,2,1,0.4658,0.10367723731828497
20000,1,3.0,2,35,0,26919,14129,0,-1,0,1.34595,0.5248709090233664
200000,2,3.0,2,34,0,34467,6472,0,2,1,0.172335,0.187773812632373
260000,2,1.0,2,51,0,88369,66308,0,2,1,0.3398807692307692,0.7503536307981306
630000,2,2.0,2,41,0,41007,23370,0,0,0,0.06509047619047618,0.5699026995391031
70000,1,2.0,2,30,1,338685,10700,0,2,1,4.838357142857143,0.03159277795001255
250000,1,1.0,2,29,0,373591,18000,0,0,0,1.494364,0.04818103219831313
50000,2,3.0,3,23,0,196416,6200,0,2,1,3.92832,0.03156565656565657
20000,1,1.0,2,24,1,106161,6350,0,2,1,5.30805,0.059814809581673116
320000,1,1.0,1,49,0,966014,361897,0,0,0,3.01879375,0.37462914616144277
360000,2,1.0,1,49,0,0,0,1,1,0,0.0,0.0
180000,2,1.0,2,29,0,0,0,1,1,0,0.0,0.0
130000,2,3.0,2,39,0,123883,42231,0,0,0,0.9529461538461539,0.34089423084684745
120000,2,2.0,1,39,1,1896,1580,0,-1,0,0.0158,0.8333333333333334
70000,2,2.0,2,26,1,265475,11010,0,2,1,3.7925,0.04147283171673415
450000,2,1.0,1,40,1,26965,22589,0,-2,0,0.059922222222222224,0.8377155572037827
